==============================================================================
A. CORPUS-WIDE: ids declared by MORE THAN ONE script instance
==============================================================================
total distinct ids in corpus: 1409 ; multi-script ids: 614
  0x00004011  2 scripts ['6bc9065a', 'ea2871aa']  sizes [(166, 18)]
  0x00004012  2 scripts ['6bc9065a', 'ea2871aa']  sizes [(166, 18)]
  0x00004013  2 scripts ['6bc9065a', 'ea2871aa']  sizes [(166, 18)]
  0x00004018  2 scripts ['6bc9065a', 'ea2871aa']  sizes [(156, 18)]
  0x00004200  3 scripts ['0b72f276', '2bc9060f', 'ea287193']  sizes [(273, 177)]
  0x00004203  3 scripts ['0b72f276', '2bc9060f', 'ea287193']  sizes [(256, 256)]
  0x00005001  3 scripts ['0b72f276', '2bc9060f', 'ea287193']  sizes [(126, 18)]
  0x00005002  3 scripts ['0b72f276', '2bc9060f', 'ea287193']  sizes [(120, 18)]
  0x00005003  3 scripts ['0b72f276', '2bc9060f', 'ea287193']  sizes [(120, 18)]
  0x00005004  3 scripts ['0b72f276', '2bc9060f', 'ea287193']  sizes [(120, 18)]
  0x00005005  3 scripts ['0b72f276', '2bc9060f', 'ea287193']  sizes [(120, 18)]
  0x00005006  3 scripts ['0b72f276', '2bc9060f', 'ea287193']  sizes [(84, 18)]
  0x00005007  3 scripts ['0b72f276', '2bc9060f', 'ea287193']  sizes [(84, 18)]
  0x00005008  3 scripts ['0b72f276', '2bc9060f', 'ea287193']  sizes [(84, 18)]
  0x00005009  3 scripts ['0b72f276', '2bc9060f', 'ea287193']  sizes [(140, 18)]
  0x0000500A  3 scripts ['0b72f276', '2bc9060f', 'ea287193']  sizes [(140, 18)]
  0x0000500B  3 scripts ['0b72f276', '2bc9060f', 'ea287193']  sizes [(140, 18)]
  0x0000500C  3 scripts ['0b72f276', '2bc9060f', 'ea287193']  sizes [(84, 18)]
  0x0000500D  3 scripts ['0b72f276', '2bc9060f', 'ea287193']  sizes [(140, 18)]
  0x0000500E  3 scripts ['0b72f276', '2bc9060f', 'ea287193']  sizes [(146, 18)]
  0x0000500F  3 scripts ['0b72f276', '2bc9060f', 'ea287193']  sizes [(146, 18)]
