archive : <PROJECT-ROOT> 1 Project\1 Completed Projects\SC4UIScale\tools\packages\15x\z_SC4UIScale_SelectiveArt-15x.dat  (21339964 bytes)
version : DBPF 1.0   index 7.0
dates   : created 0x6A8455DA  modified 0x6A8455DA
index   : 655 entries @ 0x1456C10 (13100 bytes)
holes   : 0 @ 0x0 (0 bytes)
DIR     : compression directory absent (all uncompressed)

TypeID     GroupID    InstanceID Offset     Size
0x856DDBAC 0x46A006B0 0x140155EA 0x003EA0F1 2825
0x856DDBAC 0x46A006B0 0x140155EB 0x003EABFA 3241
0x856DDBAC 0x46A006B0 0x140155EC 0x003EB8A3 3729
0x856DDBAC 0x46A006B0 0x140155ED 0x003EC734 3002
0x856DDBAC 0x46A006B0 0x140155F0 0x003ED2EE 749
0x856DDBAC 0x46A006B0 0x140155F1 0x003ED5DB 1330
0x856DDBAC 0x46A006B0 0x140155F2 0x003EDB0D 722
0x856DDBAC 0x46A006B0 0x140155F3 0x003EDDDF 2159
0x856DDBAC 0x46A006B0 0x140155F4 0x003EE64E 1365
0x856DDBAC 0x46A006B0 0x140155F5 0x003EEBA3 706
0x856DDBAC 0x46A006B0 0x140155F6 0x003EEE65 2138
0x856DDBAC 0x46A006B0 0x140155F7 0x003EF6BF 839
0x856DDBAC 0x46A006B0 0x14215E20 0x003EFA06 5443
0x856DDBAC 0x46A006B0 0x14215E21 0x003F0F49 42143
0x856DDBAC 0x46A006B0 0x14215E22 0x003FB3E8 46274
0x856DDBAC 0x46A006B0 0x14215E23 0x004068AA 47133
0x856DDBAC 0x46A006B0 0x14215E24 0x004120C7 42171
0x856DDBAC 0x46A006B0 0x14215E25 0x0041C582 44093
0x856DDBAC 0x46A006B0 0x14215E26 0x004271BF 26258
0x856DDBAC 0x46A006B0 0x14215E27 0x0042D851 16583
0x856DDBAC 0x46A006B0 0x14215E28 0x00431918 12650
0x856DDBAC 0x46A006B0 0x14215E2A 0x00434A82 13812
0x856DDBAC 0x46A006B0 0x14215E2B 0x00438076 15529
0x856DDBAC 0x46A006B0 0x14215E2C 0x0043BD1F 9606
0x856DDBAC 0x46A006B0 0x14215E30 0x0043E2A5 26137
0x856DDBAC 0x46A006B0 0x14215E31 0x004448BE 26135
0x856DDBAC 0x46A006B0 0x14215E32 0x0044AED5 21995
0x856DDBAC 0x46A006B0 0x14215E34 0x004504C0 24879
0x856DDBAC 0x46A006B0 0x14215E35 0x004565EF 26739
0x856DDBAC 0x46A006B0 0x14215E40 0x0045CE62 27002
0x856DDBAC 0x46A006B0 0x14215E41 0x004637DC 27034
0x856DDBAC 0x46A006B0 0x14215E42 0x0046A176 27908
0x856DDBAC 0x46A006B0 0x14215E43 0x00470E7A 27511
0x856DDBAC 0x46A006B0 0x14215E44 0x004779F1 27184
0x856DDBAC 0x46A006B0 0x14215E45 0x0047E421 27741
0x856DDBAC 0x46A006B0 0x14215E50 0x0048507E 25601
0x856DDBAC 0x46A006B0 0x14215E51 0x0048B47F 29106
0x856DDBAC 0x46A006B0 0x14215E53 0x00492631 27702
0x856DDBAC 0x46A006B0 0x14215E54 0x00499267 28380
0x856DDBAC 0x46A006B0 0x14215E60 0x004A0143 26311
0x856DDBAC 0x46A006B0 0x14215E63 0x004A680A 27493
0x856DDBAC 0x46A006B0 0x14215E70 0x004AD36F 27970
0x856DDBAC 0x46A006B0 0x14215E71 0x004B40B1 28445
0x856DDBAC 0x46A006B0 0x14215E72 0x004BAFCE 27892
0x856DDBAC 0x46A006B0 0x14215E73 0x004C1CC2 25907
0x856DDBAC 0x46A006B0 0x14215E74 0x004C81F5 27669
0x856DDBAC 0x46A006B0 0x14215E75 0x004CEE0A 28491
0x856DDBAC 0x46A006B0 0x14215E76 0x004D5D55 27488
0x856DDBAC 0x46A006B0 0x14215E80 0x004DC8B5 27332
0x856DDBAC 0x46A006B0 0x14315E60 0x004E3379 3339
0x856DDBAC 0x46A006B0 0x14315E61 0x004E4084 2900
0x856DDBAC 0x46A006B0 0x14315E62 0x004E4BD8 3646
0x856DDBAC 0x46A006B0 0x14415860 0x004E5A16 44689
0x856DDBAC 0x46A006B0 0x14415870 0x004F08A7 16340
0x856DDBAC 0x46A006B0 0x14415872 0x004F487B 54827
0x856DDBAC 0x46A006B0 0x14415873 0x00501EA6 52320
0x856DDBAC 0x46A006B0 0x14415874 0x0050EB06 51563
0x856DDBAC 0x46A006B0 0x14415875 0x0051B471 6857
0x856DDBAC 0x46A006B0 0x14415876 0x0051CF3A 4853
0x856DDBAC 0x46A006B0 0x14415878 0x0051E22F 55011
