archive : C:\dev\SC4UIScale\tools\selective-safe\z_SC4UIScale_SelectiveArt.dat  (11872511 bytes)
version : DBPF 1.0   index 7.0
dates   : created 0x6A85A445  modified 0x6A85A445
index   : 693 entries @ 0xB4F2DB (13860 bytes)
holes   : 0 @ 0x0 (0 bytes)
DIR     : compression directory absent (all uncompressed)

TypeID     GroupID    InstanceID Offset     Size
0x856DDBAC 0x46A006B0 0x1441587B 0x003E643A 3876
0x856DDBAC 0x46A006B0 0x14415880 0x003E735E 7224
0x856DDBAC 0x46A006B0 0x14415881 0x003E8F96 14265
0x856DDBAC 0x46A006B0 0x14415882 0x003EC74F 12833
0x856DDBAC 0x46A006B0 0x14415883 0x003EF970 14233
0x856DDBAC 0x46A006B0 0x14415886 0x003F3109 11374
0x856DDBAC 0x46A006B0 0x14415887 0x003F5D77 10683
0x856DDBAC 0x46A006B0 0x14415888 0x003F8732 10617
0x856DDBAC 0x46A006B0 0x14415889 0x003FB0AB 10606
0x856DDBAC 0x46A006B0 0x1441588A 0x003FDA19 7515
0x856DDBAC 0x46A006B0 0x14416102 0x003FF774 1585
0x856DDBAC 0x46A006B0 0x14416103 0x003FFDA5 1535
0x856DDBAC 0x46A006B0 0x14416104 0x004003A4 1583
0x856DDBAC 0x46A006B0 0x14416105 0x004009D3 1575
0x856DDBAC 0x46A006B0 0x14416106 0x00400FFA 1456
0x856DDBAC 0x46A006B0 0x144161E9 0x004015AA 3401
0x856DDBAC 0x46A006B0 0x144161EA 0x004022F3 2813
0x856DDBAC 0x46A006B0 0x144161F0 0x00402DF0 11672
0x856DDBAC 0x46A006B0 0x144161F7 0x00405B88 6033
0x856DDBAC 0x46A006B0 0x144161F8 0x00407319 48068
0x856DDBAC 0x46A006B0 0x144161FA 0x00412EDD 10037
0x856DDBAC 0x46A006B0 0x14416241 0x00415612 244
0x856DDBAC 0x46A006B0 0x14416242 0x00415706 133
0x856DDBAC 0x46A006B0 0x14416244 0x0041578B 2471
0x856DDBAC 0x46A006B0 0x14416250 0x00416132 285
0x856DDBAC 0x46A006B0 0x14416251 0x0041624F 249
0x856DDBAC 0x46A006B0 0x14416252 0x00416348 262
0x856DDBAC 0x46A006B0 0x14416253 0x0041644E 336
0x856DDBAC 0x46A006B0 0x14416254 0x0041659E 285
0x856DDBAC 0x46A006B0 0x14416255 0x004166BB 249
0x856DDBAC 0x46A006B0 0x14416256 0x004167B4 262
0x856DDBAC 0x46A006B0 0x14416257 0x004168BA 336
0x856DDBAC 0x46A006B0 0x14416258 0x00416A0A 288
0x856DDBAC 0x46A006B0 0x14416259 0x00416B2A 253
0x856DDBAC 0x46A006B0 0x1441625A 0x00416C27 265
0x856DDBAC 0x46A006B0 0x1441625B 0x00416D30 341
0x856DDBAC 0x46A006B0 0x1441625C 0x00416E85 292
0x856DDBAC 0x46A006B0 0x1441625D 0x00416FA9 257
0x856DDBAC 0x46A006B0 0x1441625E 0x004170AA 269
0x856DDBAC 0x46A006B0 0x1441625F 0x004171B7 344
0x856DDBAC 0x46A006B0 0x14416282 0x0041730F 8312
0x856DDBAC 0x46A006B0 0x14416283 0x00419387 34002
0x856DDBAC 0x46A006B0 0x14416284 0x00421859 33233
0x856DDBAC 0x46A006B0 0x14416285 0x00429A2A 32792
0x856DDBAC 0x46A006B0 0x14416286 0x00431A42 19572
0x856DDBAC 0x46A006B0 0x14416287 0x004366B6 34225
0x856DDBAC 0x46A006B0 0x14416288 0x0043EC67 19750
0x856DDBAC 0x46A006B0 0x14416289 0x0044398D 8635
0x856DDBAC 0x46A006B0 0x1441628A 0x00445B48 19993
0x856DDBAC 0x46A006B0 0x14416291 0x0044A961 1092
0x856DDBAC 0x46A006B0 0x14416295 0x0044ADA5 795
0x856DDBAC 0x46A006B0 0x14416296 0x0044B0C0 711
0x856DDBAC 0x46A006B0 0x14416297 0x0044B387 982
0x856DDBAC 0x46A006B0 0x14416298 0x0044B75D 1215
0x856DDBAC 0x46A006B0 0x14416299 0x0044BC1C 26617
0x856DDBAC 0x46A006B0 0x1441629A 0x00452415 7510
0x856DDBAC 0x46A006B0 0x1441629B 0x0045416B 26991
0x856DDBAC 0x46A006B0 0x1441629C 0x0045AADA 28098
0x856DDBAC 0x46A006B0 0x1441629D 0x0046189C 29023
0x856DDBAC 0x46A006B0 0x1441629E 0x004689FB 25755
0x856DDBAC 0x46A006B0 0x1441629F 0x0046EE96 4534
0x856DDBAC 0x46A006B0 0x144162A0 0x0047004C 29778
0x856DDBAC 0x46A006B0 0x144162A1 0x0047749E 30296
0x856DDBAC 0x46A006B0 0x144162A2 0x0047EAF6 2709
0x856DDBAC 0x46A006B0 0x144162A3 0x0047F58B 5365
0x856DDBAC 0x46A006B0 0x144162A4 0x00480A80 3788
0x856DDBAC 0x46A006B0 0x144162A5 0x0048194C 4096
0x856DDBAC 0x46A006B0 0x144162A6 0x0048294C 27265
0x856DDBAC 0x46A006B0 0x144162A7 0x004893CD 25484
0x856DDBAC 0x46A006B0 0x144162AA 0x0048F759 792
0x856DDBAC 0x46A006B0 0x144162AC 0x0048FA71 14004
0x856DDBAC 0x46A006B0 0x144162AD 0x00493125 43665
0x856DDBAC 0x46A006B0 0x144162AE 0x0049DBB6 34693
0x856DDBAC 0x46A006B0 0x144162AF 0x004A633B 37383
0x856DDBAC 0x46A006B0 0x144162B0 0x004AF542 28138
0x856DDBAC 0x46A006B0 0x14416300 0x004B632C 9635
0x856DDBAC 0x46A006B0 0x14416301 0x004B88CF 28806
