--- table at 0x00A8E6D0 [.rdata] 19 entries ---
   0x00B07EF4  0x00A806E8  CN_PRF
   0x00B07EFC  0x00000101  CN_PDBS
   0x00B07F04  0x00A806E0  PACKED_EXEMPLARS
   0x00B07F0C  0x00A87104  PACKED_TEXTURES
--- table at 0x00B07F84 [.data] 6 entries ---
   0x00B07F84  0x40000000  CN_PDBS
   0x00B07F8C  0x00A806E0  fire_1
   0x00B07F94  0x00A882F8  fire_3
   0x00B07F9C  0x00A882E8  fire_5
   0x00B07FA4  0x00A882D8  wfire_2
   0x00B07FAC  0x00A882C8  wfire_4
--- table at 0x00B07FD8 [.data] 648 entries ---
   0x00B07FD8  0x533CCA1E  kMsgTypeToolTipTick
   0x00B07FE0  0x02A09B21  kMsgMapChanged
   0x00B07FE8  0x0426840A  kMsgTypeDemandChanged
   0x00B07FF0  0x06946DC3  kMsgWaterMapChanged
   0x00B07FF8  0x69247DC3  kMsgTransitStrikeCalledOff
   0x00B08000  0x69247DC4  kMsgTransitStrikeBegin
   0x00B08008  0x69247DC5  kMsgTransitStrikeFinished
   0x00B08010  0x69247DC6  kMsgTransitStrikeThreatened
   0x00B08018  0x69247DC7  kMsgTrafficMapChanged
   0x00B08020  0x69247DC8  kMsgRoadDamageChange
   0x00B08028  0x02C06BA8  kMsgFerryDataUpdate
   0x00B08030  0x009B6D58  kMsgMoistureMapChanged
   0x00B08038  0x426841A1  kMsgAdviceClickedChanged
   0x00B08040  0x0CA56DD7  kMsgTypeToolTipTick
   0x00B08048  0x0243FC6F  kMsgPingResult
   0x00B08050  0x0243FC6F  kMsgPingResult
   0x00B08058  0x4348B111  kMessageTypeAppGainLoseFocus
   0x00B08060  0x5A4FC3D5  kMessageTypeIMEEvent
   0x00B08068  0xCA8F3DB6  kMessageType_UpdateSelf
   0x00B08070  0xE94671EB  kMessageTypeDispatchBegin
   0x00B08078  0xE94671EC  kMessageTypeDispatchActive
   0x00B08080  0xE94671ED  kMessageTypeDispatchInactive
   0x00B08088  0x894671F6  kMessageTypeDispatchEnd
   0x00B08090  0x231BBF91  kMessageTypePreferencesChanged
